,carat,cut,color,clarity,depth,table,volume
3,0.29,Premium,I,VS2,62.4,58.0,46.72
4,0.31,Good,J,SI2,63.3,58.0,51.92
10,0.3,Good,J,SI1,64.0,55.0,49.66
13,0.31,Ideal,J,SI2,62.2,54.0,51.52
15,0.32,Premium,E,I1,60.9,58.0,51.88
16,0.3,Ideal,I,SI2,62.0,54.0,50.13
17,0.3,Good,J,SI1,63.4,54.0,49.0
18,0.3,Good,J,SI1,63.8,56.0,48.83
19,0.3,Very Good,J,SI1,62.7,59.0,47.82
20,0.3,Good,I,SI2,63.3,56.0,49.64
23,0.31,Very Good,J,SI1,59.4,62.0,50.95
27,0.3,Very Good,J,VS2,62.2,57.0,49.14
37,0.31,Good,H,SI1,64.0,54.0,50.85
39,0.33,Ideal,I,SI2,61.8,55.0,56.29
40,0.33,Ideal,I,SI2,61.2,56.0,55.56
41,0.33,Ideal,J,SI1,61.1,56.0,56.39
44,0.32,Good,H,SI2,63.1,56.0,52.16
45,0.29,Premium,F,SI1,62.4,58.0,47.87
46,0.32,Very Good,H,SI2,61.8,55.0,52.11
47,0.32,Good,H,SI2,63.8,56.0,53.28
49,0.29,Very Good,H,SI2,60.7,60.0,49.95
52,0.32,Ideal,I,SI1,60.9,55.0,54.23
55,0.3,Ideal,I,SI2,61.0,59.0,48.97
57,0.3,Very Good,I,SI1,62.6,57.0,48.57
58,0.3,Very Good,I,SI1,63.0,57.0,50.11
59,0.3,Good,I,SI1,63.2,55.0,49.23
60,0.35,Ideal,I,VS1,60.9,57.0,57.93
61,0.3,Premium,D,SI1,62.6,59.0,48.05
62,0.3,Ideal,D,SI1,62.5,57.0,49.85
63,0.3,Ideal,D,SI1,62.1,56.0,49.9
64,0.42,Premium,I,SI2,61.5,59.0,68.48
66,0.32,Ideal,I,VVS1,62.0,55.3,52.97
67,0.31,Very Good,G,SI1,63.3,57.0,50.83
68,0.31,Premium,G,SI1,61.8,58.0,50.36
71,0.3,Very Good,H,SI1,63.1,56.0,49.46
72,0.3,Premium,H,SI1,62.9,59.0,48.63
73,0.3,Premium,H,SI1,62.5,57.0,48.68
74,0.3,Good,H,SI1,63.7,57.0,49.59
83,0.38,Ideal,I,SI2,61.6,56.0,62.32
89,0.32,Premium,I,SI1,62.9,58.0,51.42
90,0.7,Ideal,E,SI1,62.5,57.0,116.4
92,0.7,Ideal,G,VS2,61.6,56.0,113.12
93,0.71,Very Good,E,VS2,62.4,57.0,115.87
94,0.78,Very Good,G,SI2,63.8,56.0,126.44
96,0.7,Good,F,VS1,59.4,62.0,111.82
98,0.73,Very Good,E,SI1,61.6,59.0,118.73
99,0.8,Premium,H,SI1,61.5,58.0,129.57
100,0.75,Very Good,D,SI1,63.2,56.0,121.73
101,0.75,Premium,E,SI1,59.9,54.0,128.02
102,0.74,Ideal,G,SI1,61.6,55.0,121.81
103,0.75,Premium,G,VS2,61.7,58.0,121.6
104,0.8,Ideal,I,VS1,62.9,56.0,129.71
105,0.75,Ideal,G,SI1,62.2,55.0,123.59
106,0.8,Premium,G,SI1,63.0,59.0,126.49
107,0.74,Ideal,I,VVS2,62.3,55.0,121.02
108,0.81,Ideal,F,SI2,58.8,57.0,135.06
109,0.59,Ideal,E,VVS2,62.0,55.0,97.86
110,0.8,Ideal,F,SI2,61.4,57.0,131.24
111,0.74,Ideal,E,SI2,62.2,56.0,122.62
112,0.9,Premium,I,VS2,63.0,58.0,145.9
113,0.74,Very Good,G,SI1,62.2,59.0,119.72
114,0.73,Ideal,F,VS2,62.6,56.0,119.23
116,0.8,Premium,F,SI2,61.7,58.0,130.72
117,0.71,Ideal,G,VS2,62.4,54.0,117.95
118,0.7,Ideal,E,VS2,60.7,58.0,115.19
119,0.8,Ideal,F,SI2,59.9,59.0,132.06
120,0.71,Ideal,D,SI2,62.3,56.0,116.07
121,0.74,Ideal,E,SI1,62.3,54.0,122.41
122,0.7,Very Good,F,VS2,61.7,63.0,109.79
123,0.7,Fair,F,VS2,64.5,57.0,110.27
124,0.7,Fair,F,VS2,65.3,55.0,114.98
125,0.7,Premium,F,VS2,61.6,60.0,109.28
126,0.91,Premium,H,SI1,61.4,56.0,134.52
127,0.61,Very Good,D,VVS2,59.6,57.0,103.0
128,0.91,Fair,H,SI2,64.4,57.0,146.23
130,0.77,Ideal,H,VS2,62.0,56.0,125.64
131,0.71,Very Good,D,SI1,63.6,58.0,115.33
132,0.71,Ideal,D,SI1,61.9,59.0,114.89
133,0.7,Very Good,E,VS2,62.6,60.0,112.09
134,0.77,Very Good,H,VS1,61.3,60.0,125.24
135,0.63,Premium,E,VVS1,60.9,60.0,103.24
136,0.71,Very Good,F,VS1,60.1,62.0,114.59
137,0.71,Premium,F,VS1,61.8,59.0,115.09
138,0.76,Ideal,H,SI1,61.2,57.0,125.45
139,0.64,Ideal,G,VVS1,61.9,56.0,105.46
140,0.71,Premium,G,VS2,60.9,57.0,116.65
141,0.71,Premium,G,VS2,59.8,56.0,119.77
142,0.7,Very Good,D,VS2,61.8,55.0,114.36
143,0.7,Very Good,F,VS1,60.0,57.0,119.16
144,0.71,Ideal,D,SI2,61.6,55.0,117.04
146,0.71,Very Good,G,VS1,63.3,59.0,109.0
147,0.73,Very Good,D,SI1,60.2,56.0,120.46
148,0.7,Very Good,D,SI1,61.1,58.0,112.86
149,0.7,Ideal,E,SI1,60.9,57.0,115.52
150,0.71,Premium,D,SI2,61.7,59.0,113.64
151,0.74,Ideal,I,SI1,61.3,56.0,121.76
152,0.71,Premium,D,VS2,62.5,60.0,111.57
153,0.73,Premium,G,VS2,61.4,59.0,119.55
154,0.76,Very Good,F,SI1,62.9,57.0,122.79
155,0.76,Ideal,D,SI2,62.4,57.0,121.98
156,0.71,Ideal,F,SI1,60.7,56.0,117.47
157,0.73,Premium,G,VS2,60.7,58.0,121.28
158,0.73,Premium,G,VS1,61.5,58.0,118.19
159,0.73,Ideal,D,SI2,59.9,57.0,123.44
160,0.73,Premium,G,VS2,59.2,59.0,121.28
161,0.72,Very Good,H,VVS2,60.3,56.0,118.89
162,0.73,Very Good,F,SI1,61.7,60.0,120.64
163,0.71,Ideal,G,VS2,61.9,57.0,117.7
164,0.79,Ideal,F,SI2,61.9,55.0,130.06
165,0.73,Very Good,H,VVS1,60.4,59.0,121.56
166,0.8,Very Good,F,SI2,61.0,57.0,133.0
167,0.58,Ideal,G,VVS1,61.5,55.0,97.64
168,0.58,Ideal,F,VVS1,61.7,56.0,94.45
169,0.71,Good,E,VS2,59.2,61.0,118.0
170,0.75,Ideal,D,SI2,61.3,56.0,124.04
172,1.17,Very Good,J,I1,60.2,61.0,194.63
173,0.6,Ideal,E,VS1,61.7,55.0,98.59
174,0.7,Ideal,E,SI1,62.7,55.0,116.72
175,0.83,Good,I,VS2,64.6,54.0,130.37
176,0.74,Very Good,F,VS2,61.3,61.0,120.92
177,0.72,Very Good,G,VS2,63.7,56.4,115.44
178,0.71,Premium,E,VS2,62.7,58.0,116.72
179,0.71,Ideal,E,VS2,62.2,57.0,115.52
180,0.54,Ideal,E,VVS2,61.6,56.0,89.64
181,0.54,Ideal,E,VVS2,61.5,57.0,89.03
182,0.72,Ideal,G,SI1,61.8,56.0,116.76
183,0.72,Ideal,G,SI1,60.7,56.0,118.95
184,0.72,Good,G,VS2,59.7,60.5,117.54
185,0.71,Ideal,G,SI1,60.5,56.0,116.93
186,0.7,Very Good,D,VS1,62.7,58.0,115.78
187,0.71,Premium,F,VS2,62.1,58.0,114.09
188,0.71,Very Good,F,VS2,62.8,57.0,114.25
189,0.71,Good,F,VS2,63.8,58.0,113.59
191,0.7,Ideal,E,VS2,62.1,55.0,114.09
192,0.7,Premium,E,VS2,61.1,60.0,111.75
193,0.7,Premium,E,SI1,60.0,59.0,115.19
194,0.7,Premium,E,SI1,61.2,57.0,113.59
195,0.7,Premium,E,SI1,62.7,59.0,113.0
196,0.7,Premium,E,SI1,61.0,57.0,113.26
197,0.7,Premium,E,SI1,61.0,58.0,116.05
198,0.7,Ideal,E,SI1,61.4,57.0,115.57
199,0.72,Premium,F,SI1,61.8,61.0,118.31
200,0.7,Very Good,E,SI1,59.9,63.0,112.61
201,0.7,Premium,E,SI1,61.3,58.0,113.19
202,0.7,Premium,E,SI1,60.5,58.0,115.26
203,0.7,Good,E,VS2,64.1,59.0,113.5
205,0.78,Premium,F,SI1,62.4,58.0,122.74
206,0.7,Very Good,E,SI1,63.2,60.0,108.3
207,0.52,Ideal,F,VVS1,61.3,55.0,86.42
208,0.73,Very Good,H,VS2,60.8,56.0,120.66
209,0.74,Ideal,E,SI1,61.7,56.0,121.6
210,0.7,Very Good,F,VS2,63.6,57.0,113.47
211,0.77,Premium,G,VS2,61.2,58.0,126.65
212,0.71,Ideal,F,VS2,62.1,54.0,115.01
213,0.74,Ideal,G,VS1,61.5,55.0,122.23
214,0.7,Ideal,G,VS1,61.4,59.0,112.79
215,1.01,Premium,F,I1,61.8,60.0,160.12
216,0.77,Ideal,H,SI1,62.2,56.0,124.78
217,0.78,Ideal,H,SI1,61.2,56.0,129.08
218,0.72,Very Good,H,VS1,60.6,63.0,117.87
220,0.76,Ideal,G,VS2,61.3,56.0,127.22
222,0.7,Premium,E,VS1,62.9,60.0,109.28
223,0.75,Very Good,D,SI2,63.1,58.0,120.22
224,0.72,Ideal,D,SI1,60.8,57.0,115.92
225,0.72,Premium,D,SI1,62.7,59.0,116.72
226,0.7,Premium,D,SI1,62.8,60.0,114.45
228,0.75,Premium,F,SI1,61.4,59.0,123.83
229,0.52,Ideal,F,IF,62.2,55.0,85.47
230,0.72,Very Good,F,VS2,63.0,54.0,117.37
231,0.79,Very Good,H,VS1,63.7,56.0,129.87
232,0.72,Very Good,F,VS2,63.6,58.0,116.26
233,0.51,Ideal,F,VVS1,62.0,57.0,83.69
234,0.64,Ideal,D,VS1,61.5,56.0,104.85
235,0.7,Very Good,H,VVS1,60.5,60.0,115.26
236,0.83,Very Good,I,VS1,61.1,60.0,137.74
237,0.76,Ideal,I,VVS2,61.8,56.0,124.31
238,0.71,Good,D,VS2,63.3,56.0,114.69
240,0.71,Ideal,F,SI1,62.5,55.0,114.53
241,1.01,Fair,E,I1,64.5,58.0,157.42
242,1.01,Premium,H,SI2,62.7,59.0,154.25
244,0.76,Good,E,SI1,63.7,54.0,124.68
245,0.76,Premium,E,SI1,60.4,58.0,125.89
246,0.76,Premium,E,SI1,61.8,58.0,123.12
247,1.05,Very Good,J,SI2,63.2,56.0,171.21
248,0.81,Ideal,G,SI2,61.6,56.0,132.4
249,0.7,Ideal,E,SI1,61.6,56.0,116.1
250,0.55,Ideal,G,IF,60.9,57.0,90.11
